,Ranking,Country,GDP per Capita,2022 Population
162,172,Solomon Islands,"$2,455",721159
163,173,Mali,"$2,401",21473764
164,174,Afghanistan,"$2,390",40754388
165,175,Guinea Bissau,"$2,348",2063367
166,176,Rwanda,"$2,337",13600464
167,177,Gambia,"$2,276",2558482
168,178,Burkina Faso,"$2,262",22102838
169,179,Kiribati,"$2,200",123419
170,180,Togo,"$2,199",8680837
171,181,Yemen,"$1,927",31154867
172,182,Eritrea,"$1,821",3662244
173,183,Sierra Leone,"$1,725",8306436
174,184,Chad,"$1,611",17413580
175,185,Madagascar,"$1,599",29178077
176,186,Liberia,"$1,557",5305117
177,187,Mozambique,"$1,277",33089461
178,188,Niger,"$1,259",26083660
179,189,DR Congo,"$1,106",95240792
180,190,Malawi,$993,20180839
181,191,Central African Republic,$979,5016678
182,192,Somalia,$925,16841795
183,193,South Sudan,$791,11618511
184,194,Burundi,$760,12624840
